Date,City Code,City Name,Ward Code,Ward Name,Precinct Code,Precinct Name,Congressional District,State Senate District,State House District,County Commissioner District,Judicial District,Soil and Water Conservation District,Hospital District,Voter Count,Location
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1430,ST. PAUL W-7 P-01,4,67,67B,05,02,,,2161,"(44.95762338, -93.06913153)"
02/01/2019 12:00:00 AM,150,Shoreview,,,1600,SHOREVIEW P-2,4,42,42B,01,02,,,3557,"(45.05509409, -93.12579994)"
02/01/2019 12:00:00 AM,040,Gem Lake,,,0080,GEM LAKE P-1,4,42,42B,01,02,,,332,"(45.05796451, -93.04050851)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0930,ST. PAUL W-3 P-10,4,64,64B,05,02,,,1512,"(44.91297559, -93.16624613)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0365,NEW BRIGHTON P-8,4,41,41A,02,02,,,1943,"(45.08835995, -93.21504171)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1480,ST. PAUL W-7 P-06,4,67,67B,06,02,,,1434,"(44.95994567, -93.03546738)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1450,ST. PAUL W-7 P-03,4,67,67B,06,02,,,1513,"(44.95991154, -93.05327889)"
02/01/2019 12:00:00 AM,150,Shoreview,,,1640,SHOREVIEW P-6,4,42,42A,01,02,,,2786,"(45.11605468, -93.16860974)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1220,ST. PAUL W-5 P-07,4,65,65B,03,02,,,1211,"(44.970536, -93.0980267)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0140,MAPLEWOOD P-02,4,43,43A,07,02,,,1806,"(45.00520209, -93.07256191)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0690,ST. PAUL W-2 P-02,4,64,64A,04,02,,,1739,"(44.93647138, -93.13541492)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1200,ST. PAUL W-5 P-05,4,66,66B,03,02,,,1851,"(44.98277307, -93.09671743)"
02/01/2019 12:00:00 AM,180,White Bear Twp,,,1720,WHITE BEAR TWP P-3,4,38,38B,01,02,,,851,"(45.07824363, -92.99480962)"
02/01/2019 12:00:00 AM,140,St. Paul,07,W-07,1490,ST. PAUL W-7 P-07,4,67,67B,06,02,,,1246,"(44.95442457, -93.0359483)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0250,MAPLEWOOD P-13,4,53,53A,07,02,,,2539,"(44.90774519, -92.99370551)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1300,ST. PAUL W-6 P-02,4,67,67A,06,02,,,1283,"(44.98428335, -93.05712747)"
02/01/2019 12:00:00 AM,090,New Brighton,,,0330,NEW BRIGHTON P-1,4,41,41B,02,02,,,1730,"(45.04246437, -93.19462754)"
02/01/2019 12:00:00 AM,120,Roseville,,,0520,ROSEVILLE P-10,4,66,66A,02,02,,,2191,"(44.99943622, -93.12255446)"
02/01/2019 12:00:00 AM,170,Vadnais Heights,,,1680,VADNAIS HEIGHTS P-3,4,42,42B,01,02,,,2072,"(45.05396739, -93.08166184)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0670,ST. PAUL W-1 P-14,4,65,65B,05,02,,,979,"(44.95981937, -93.09863492)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0220,MAPLEWOOD P-10,4,53,53A,07,02,,,1165,"(44.98128046, -92.99320336)"
02/01/2019 12:00:00 AM,140,St. Paul,02,W-02,0790,ST. PAUL W-2 P-12,4,65,65B,05,02,,,1756,"(44.92411322, -93.10730885)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1070,ST. PAUL W-4 P-08,4,64,64A,04,02,,,2264,"(44.96235506, -93.17207461)"
02/01/2019 12:00:00 AM,140,St. Paul,03,W-03,0960,ST. PAUL W-3 P-13,4,64,64B,04,02,,,1876,"(44.93269209, -93.15748988)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0610,ST. PAUL W-1 P-08,4,65,65A,04,02,,,2225,"(44.94851829, -93.11757859)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1180,ST. PAUL W-5 P-03,4,66,66B,03,02,,,2069,"(44.97534649, -93.1387175)"
02/01/2019 12:00:00 AM,010,Arden Hills,,,0030,ARDEN HILLS P-3,4,42,42A,01,02,,,2046,"(45.08639736, -93.16649465)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0150,MAPLEWOOD P-03,4,43,43A,07,02,,,1815,"(44.99971138, -93.05119151)"
02/01/2019 12:00:00 AM,060,Little Canada,,,0110,LITTLE CANADA P-2,4,42,42B,02,02,,,2339,"(45.016509, -93.084087)"
02/01/2019 12:00:00 AM,130,St. Anthony,,,0530,ST ANTHONY P-1,5,41,41B,02,02,,,2194,"(45.04153919, -93.21913554)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0240,MAPLEWOOD P-12,4,53,53A,07,02,,,2224,"(44.93613251, -92.99580359)"
02/01/2019 12:00:00 AM,080,Mounds View,,,0290,MOUNDS VIEW P-1,4,42,42A,01,02,,North Suburban,2096,"(45.11578186, -93.21809568)"
02/01/2019 12:00:00 AM,110,North St. Paul,,,0420,NORTH ST. PAUL P-4,4,43,43B,07,02,,,1740,"(45.02487933, -92.99826011)"
